path,type,required,array,enum,format,description,omop_table,omop_field,omop_vocab,omop_transform,status,notes
molecular.smallVariants[].genomicSource,string,yes,yes,"somatic, germline",,Source of the genomic material.,,,,,TODO,
molecular.smallVariants[].identifier,string,yes,yes,,,,,,,,TODO,
molecular.smallVariants[].localization,string,yes,yes,"coding, inRegulatoryElements, notInCodingAndNotInRegulatoryElements",,Localization of molecular alteration.,,,,,TODO,
molecular.smallVariants[].loh,boolean,no,yes,,,Loss of heterozygosity.,,,,,TODO,
molecular.smallVariants[].proteinChange,string,no,yes,,,Protein level alteration (HGVSp).,,,,,TODO,
molecular.smallVariants[].ref,string,yes,yes,,,ref sequence VCF-style.,,,,,TODO,
molecular.smallVariants[].startPosition,integer,yes,yes,,,Start coordinate in GRCh38 VCF-style.,,,,,TODO,
molecular.smallVariants[].transcriptId.code,string,yes,yes,,,Symbol in syntax defined by the system,,,,,TODO,
molecular.smallVariants[].transcriptId.display,string,no,yes,,,Representation defined by the system,,,,,TODO,
molecular.smallVariants[].transcriptId.system,string,yes,yes,,uri,Identity of the terminology system,,,,,TODO,
molecular.smallVariants[].transcriptId.version,string,no,yes,,,Version of the system - if relevant,,,,,TODO,
molecular.smallVariants[].variantTypes[].code,string,yes,yes,,,Symbol in syntax defined by the system,,,,,TODO,
molecular.smallVariants[].variantTypes[].display,string,no,yes,,,Representation defined by the system,,,,,TODO,
molecular.smallVariants[].variantTypes[].system,string,yes,yes,,uri,Identity of the terminology system,,,,,TODO,
molecular.smallVariants[].variantTypes[].version,string,yes,yes,,,Version of the system - if relevant,,,,,TODO,
molecular.structuralVariants[].description,string,no,yes,,,Description of the structural variant (HGVS/ISCN).,,,,,TODO,
molecular.structuralVariants[].geneA.code,string,yes,yes,,,Symbol in syntax defined by the system,,,,,TODO,
molecular.structuralVariants[].geneA.display,string,yes,yes,,,Representation defined by the system,,,,,TODO,
molecular.structuralVariants[].geneA.system,string,no,yes,,uri,Identity of the terminology system,,,,,TODO,
molecular.structuralVariants[].geneA.version,string,no,yes,,,Version of the system - if relevant,,,,,TODO,
molecular.structuralVariants[].geneB.code,string,yes,yes,,,Symbol in syntax defined by the system,,,,,TODO,
molecular.structuralVariants[].geneB.display,string,yes,yes,,,Representation defined by the system,,,,,TODO,
molecular.structuralVariants[].geneB.system,string,no,yes,,uri,Identity of the terminology system,,,,,TODO,
molecular.structuralVariants[].geneB.version,string,no,yes,,,Version of the system - if relevant,,,,,TODO,
molecular.structuralVariants[].genomicSource,string,yes,yes,"somatic, germline",,Source of the genomic material.,,,,,TODO,
molecular.structuralVariants[].identifier,string,yes,yes,,,,,,,,TODO,
molecular.structuralVariants[].localization,string,yes,yes,"coding, inRegulatoryElements, notInCodingAndNotInRegulatoryElements",,Localization of molecular alteration.,,,,,TODO,
molecular.structuralVariants[].sequenceType,string,yes,yes,"DNA, RNA",,,,,,,TODO,
molecular.structuralVariants[].structureType,string,yes,yes,"translocation, translocationWithCodingRegion, translocationWithNonCodingRegion, inversion, deletionOfGeneSegments, duplicationOfGeneSegments",,Type of structural variant.,,,,,TODO,
plan.carePlanOd.counsellingRecommended,boolean,yes,no,,,Recommendation for human genetic counseling.,,,,,TODO,
plan.carePlanOd.interventionRecommended,boolean,yes,no,,,Recommendation for an operation.,,,,,TODO,
plan.carePlanOd.molecularBoardDecisionDate,string,yes,no,,date,Date of case conference.,,,,,TODO,
plan.carePlanOd.otherRecommendations[],string,no,yes,"WW, AS, WS, OP, ST, KW, SO",,,,,,,TODO,
plan.carePlanOd.reEvaluationRecommended,boolean,yes,no,,,Recommendation for diagnostic reevaluation.,,,,,TODO,
plan.carePlanOd.studyRecommended,boolean,yes,no,,,Recommendation to participate in a clinical study.,,,,,TODO,
plan.carePlanOd.suitableInterventions[].interventionIsTherapeutic,boolean,yes,yes,,,,,,,,TODO,
plan.carePlanOd.suitableInterventions[].interventionsIsRiskReducing,boolean,yes,yes,,,,,,,,TODO,
plan.carePlanOd.suitableInterventions[].type.code.code,string,yes,yes,,,Symbol in syntax defined by the system,,,,,TODO,
plan.carePlanOd.suitableInterventions[].type.code.display,string,no,yes,,,Representation defined by the system,,,,,TODO,
plan.carePlanOd.suitableInterventions[].type.code.system,string,yes,yes,,uri,Identity of the terminology system,,,,,TODO,
plan.carePlanOd.suitableInterventions[].type.code.version,string,yes,yes,,,Version of the system - if relevant,,,,,TODO,
plan.carePlanOd.suitableInterventions[].type.name,string,yes,yes,,,,,,,,TODO,
plan.preventiveMeasures[].identifier,string,yes,yes,,,,,,,,TODO,
plan.preventiveMeasures[].type,string,yes,yes,,,"e.g. Breast Imaging (MRI, MGR, US) | Colonoscopy | Esophago-gastro-duodenoscopy",,,,,TODO,
plan.recommendedStudies[].evidenceLevel,string,yes,yes,"m1A, m1B, m1C, m2A, m2B, m2C, m3, m4, undefined",,Evidence level.,,,,,TODO,
plan.recommendedStudies[].evidenceLevelDetails[],string,no,yes,"is, iv, Z, R, Z(FDA)",,Additional references: evidence grading.,,,,,TODO,
plan.recommendedStudies[].id,string,yes,yes,,,Study ID.,,,,,TODO,
plan.recommendedStudies[].identifier,string,yes,yes,,,,,,,,TODO,
plan.recommendedStudies[].name,string,yes,yes,,,Study name.,,,,,TODO,
plan.recommendedStudies[].priority,integer,yes,yes,,,Prioritization.,,,,,TODO,
plan.recommendedStudies[].register,string,yes,yes,"NCT, DRKS, Eudra-CT/CTIS, other, yesButStudyIsUnknown",,Study register.,,,,,TODO,
plan.recommendedStudies[].substances[].code.code,string,no,yes,,,Symbol in syntax defined by the system,,,,,TODO,
plan.recommendedStudies[].substances[].code.display,string,no,yes,,,Representation defined by the system,,,,,TODO,
plan.recommendedStudies[].substances[].code.system,string,no,yes,,uri,Identity of the terminology system,,,,,TODO,
plan.recommendedStudies[].substances[].code.version,string,no,yes,,,Version of the system - if relevant,,,,,TODO,
plan.recommendedStudies[].substances[].name,string,no,yes,,,,,,,,TODO,
plan.recommendedStudies[].variants[],string,no,yes,,,,,,,,TODO,
plan.recommendedSystemicTherapies[].evidenceLevel,string,yes,yes,"m1A, m1B, m1C, m2A, m2B, m2C, m3, m4, undefined",,Evidence level.,,,,,TODO,
plan.recommendedSystemicTherapies[].evidenceLevelDetails[],string,no,yes,"is, iv, Z, R, Z(FDA)",,Additional references: evidence grading.,,,,,TODO,
plan.recommendedSystemicTherapies[].identifier,string,yes,yes,,,,,,,,TODO,
plan.recommendedSystemicTherapies[].priority,integer,yes,yes,,,Prioritization.,,,,,TODO,
plan.recommendedSystemicTherapies[].substances[].code.code,string,no,yes,,,Symbol in syntax defined by the system,,,,,TODO,
plan.recommendedSystemicTherapies[].substances[].code.display,string,no,yes,,,Representation defined by the system,,,,,TODO,
plan.recommendedSystemicTherapies[].substances[].code.system,string,no,yes,,uri,Identity of the terminology system,,,,,TODO,
plan.recommendedSystemicTherapies[].substances[].code.version,string,no,yes,,,Version of the system - if relevant,,,,,TODO,
plan.recommendedSystemicTherapies[].substances[].name,string,no,yes,,,,,,,,TODO,
plan.recommendedSystemicTherapies[].therapeuticStrategy,string,yes,yes,"CH, HO, IM, ZS, CI, CZ, CIZ, IZ, SZ, SO",,,,,,,TODO,
plan.recommendedSystemicTherapies[].type,string,yes,yes,"inLabel, offLabel, compassionateUse, unknown, secPreventive",,Recommendation systemic therapy (outside of a clinical trial),,,,,TODO,
plan.recommendedSystemicTherapies[].variants[],string,no,yes,,,,,,,,TODO,
