path,type,required,array,enum,format,description,omop_table,omop_field,omop_vocab,omop_transform,status,notes
followUp.followUpOds[].phenotypes[].version,string,no,yes,,,Version of the system - if relevant,,,,,TODO,
followUp.followUpOds[].preventiveMeasures[].preventiveMeasureDate,string,yes,yes,,date,Date of the preventive measure.,,,,,TODO,
followUp.followUpOds[].preventiveMeasures[].preventiveMeasureResult,string,yes,yes,"noFindings, malignoma, unclear",,Result of the preventive measure.,,,,,TODO,
followUp.followUpOds[].preventiveMeasures[].reference,string,yes,yes,,,,,,,,TODO,
followUp.followUpOds[].preventiveMeasures[].type,string,no,yes,,,,,,,,TODO,
followUp.followUpOds[].therapies[].reference,string,yes,yes,,,,,,,,TODO,
followUp.followUpOds[].therapies[].substances[].code.code,string,no,yes,,,Symbol in syntax defined by the system,drug_exposure,drug_source_concept_id + drug_concept_id,ATC -> RxNorm,administered therapy substance,DRAFT,
followUp.followUpOds[].therapies[].substances[].code.display,string,no,yes,,,Representation defined by the system,drug_exposure,drug_source_concept_id + drug_concept_id,ATC -> RxNorm,administered therapy substance,DRAFT,
followUp.followUpOds[].therapies[].substances[].code.system,string,no,yes,,uri,Identity of the terminology system,drug_exposure,drug_source_concept_id + drug_concept_id,ATC -> RxNorm,administered therapy substance,DRAFT,
followUp.followUpOds[].therapies[].substances[].code.version,string,no,yes,,,Version of the system - if relevant,drug_exposure,drug_source_concept_id + drug_concept_id,ATC -> RxNorm,administered therapy substance,DRAFT,
followUp.followUpOds[].therapies[].substances[].name,string,no,yes,,,,drug_exposure,drug_source_concept_id + drug_concept_id,ATC -> RxNorm,administered therapy substance,DRAFT,
followUp.followUpOds[].therapies[].terminationReasonOBDS,string,no,yes,"E, R, W, A, P, S, V, T, U",,,,,,,TODO,
followUp.followUpOds[].therapies[].therapyEndDate,string,no,yes,,date,Date when the therapy ended.,,,,,TODO,
followUp.followUpOds[].therapies[].therapyResponse,string,no,yes,"PD, SD, PR, CR",,Therapy response.,,,,,TODO,
followUp.followUpOds[].therapies[].therapyResponseDate,string,no,yes,,date,Date of therapy response evaluation.,,,,,TODO,
followUp.followUpOds[].therapies[].therapyResponseSource,string,no,yes,,,Source of therapy response data.,,,,,TODO,
followUp.followUpOds[].therapies[].therapyStartDate,string,yes,yes,,date,Date when the therapy started.,,,,,TODO,
followUp.followUpOds[].vitalStatus,string,yes,yes,"living, deceased",,Vital status of the patient.,death,death.death_type_concept_id / person,-,alive/dead -> death record if deceased,DRAFT,
metaData.addressAGS,string,yes,no,,,Official municipal code of the patient's residence.,location,location.* (person.location_id),-,AGS Gemeindeschluessel -> location_source_value/county,DRAFT,
metaData.birthDate,string,yes,no,,,Date of birth without the day. Format YYYY-MM,person,birth_datetime / year_of_birth,-,partial date -> year/month,DRAFT,
metaData.coverageType,string,yes,no,"GKV, PKV, BG, SEL, SOZ, GPV, PPV, BEI, SKT, UNK",,Health insurance providers,payer_plan_period,payer_concept_id,-,GKV/PKV -> payer (or omit),DRAFT,
metaData.decisionToInclude,boolean,yes,no,,,Decision of the multidisciplinary case conference in the field of diagnostics on the inclusion of the insured person in the pilot project,,,-,administrative; not OMOP-analytic,NOMAP,
metaData.gender,string,yes,no,"male, female, other, unknown",,,person,gender_concept_id,Gender,male/female/other/unknown -> Gender concepts (source in gender_source_value),DRAFT,
metaData.localCaseId,string,no,no,,,A local case identifier of the Leistungserbringer to be able to track multiple submissions referring to the same index patient,person,person_source_value,-,site-local id,DRAFT,
metaData.molecularBoardDecisionDate,string,yes,no,,date,Date of the decision of the multidisciplinary case conference in the field of diagnostics on the inclusion of the insured person in the pilot project,episode,episode (MTB) — see research,-,deferred to OMOP-oncology episode research,TODO,
metaData.mvConsent.presentationDate,string,no,no,,date,"Date of delivery. Date (in ISO 8601 format YYYY-MM-DD) on which the Model Project Declaration of Participation was presented to the patient, unless identical to the date of signature",observation,observation (consent),-,OMOP has NO consent model; represent as observation or out-of-scope,DRAFT,
metaData.mvConsent.scope[].date,string,yes,yes,,date,Date of signature of the pilot projects consent; in ISO 8601 format YYYY-MM-DD.,observation,observation (consent),-,OMOP has NO consent model; represent as observation or out-of-scope,DRAFT,
metaData.mvConsent.scope[].domain,string,yes,yes,"mvSequencing, reIdentification, caseIdentification",,Scope of consent or revocation.,observation,observation (consent),-,OMOP has NO consent model; represent as observation or out-of-scope,DRAFT,
metaData.mvConsent.scope[].type,string,yes,yes,"permit, deny",,"Consent or refusal to participate and consent, must be indicated for each option listed in the scope of consent.",observation,observation (consent),-,OMOP has NO consent model; represent as observation or out-of-scope,DRAFT,
metaData.mvConsent.version,string,yes,no,,,"Version of the declaration of participation. Name and version of the declaration of participation in the MV GenomSeq, e.g.: 'Patient Info TE Consent MVGenomSeq vers01'",observation,observation (consent),-,OMOP has NO consent model; represent as observation or out-of-scope,DRAFT,
